Menge;AccountingMonth;Produktionsstandort;Vertriebsweg;Landeskürzel;Land;Gruppe
100;201310;Standort1;direkt;SG;Singapur;3
300;201310;Standort1;direkt;SG;Singapur;3
2;201310;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201310;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201310;Standort1;direkt;MY;Malaysia;3
2;201310;Standort1;direkt;MY;Malaysia;3
2;201310;Standort1;direkt;GB;Vereinigtes Königreich;3
3;201310;Standort1;direkt;SG;Singapur;3
7;201310;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201310;Standort1;direkt;KW;Kuwait;3
8;201310;Standort1;direkt;MY;Malaysia;3
7;201310;Standort1;direkt;GB;Vereinigtes Königreich;3
41;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
9;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201310;Standort1;direkt;ID;Indonesien;3
2;201310;Standort1;direkt;GB;Vereinigtes Königreich;3
20;201310;Standort1;direkt;DE;Deutschland;3
16;201310;Standort1;direkt;GB;Vereinigtes Königreich;3
32;201310;Standort1;direkt;QA;Qatar;3
1;201312;Standort1;direkt;SG;Singapur;3
1;201310;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201310;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201310;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201310;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201310;Standort1;direkt;GB;Vereinigtes Königreich;3
38;201311;Standort1;direkt;KW;Kuwait;3
8;201311;Standort1;direkt;KW;Kuwait;3
24;201405;Standort1;direkt;KW;Kuwait;3
206;201405;Standort1;direkt;KW;Kuwait;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
9;201310;Standort1;direkt;MY;Malaysia;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
3;201311;Standort1;direkt;DE;Deutschland;3
30;201311;Standort1;direkt;DE;Deutschland;3
1;201311;Standort1;direkt;DE;Deutschland;3
14;201310;Standort1;direkt;DE;Deutschland;3
1;201311;Standort1;direkt;MY;Malaysia;3
1;201311;Standort1;direkt;MY;Malaysia;3
-1;201311;Standort1;direkt;MY;Malaysia;3
2;201311;Standort1;direkt;KW;Kuwait;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201311;Standort1;direkt;DE;Deutschland;3
2;201311;Standort1;direkt;SG;Singapur;3
2;201311;Standort1;direkt;DE;Deutschland;3
2;201311;Standort1;direkt;DE;Deutschland;3
1;201312;Standort1;direkt;KW;Kuwait;3
12;201311;Standort1;direkt;DE;Deutschland;3
5;201311;Standort1;direkt;DE;Deutschland;3
1;201311;Standort1;direkt;DE;Deutschland;3
2;201312;Standort1;direkt;MY;Malaysia;3
1;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201311;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201312;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201311;Standort1;direkt;MY;Malaysia;3
5;201312;Standort1;direkt;DE;Deutschland;3
2;201312;Standort1;direkt;KW;Kuwait;3
14;201312;Standort1;direkt;MY;Malaysia;3
100;201503;Standort1;direkt;SG;Singapur;3
100;201503;Standort1;direkt;SG;Singapur;3
101;201502;Standort1;direkt;SG;Singapur;3
100;201502;Standort1;direkt;SG;Singapur;3
